VTD,COURT_ORDERED,PLAN1,PLAN2,PLAN3,PLAN4,PLAN5,PLAN6
270030005,6,2,1,8,2,4,4
270030010,6,2,1,8,2,4,4
270030015,6,2,1,8,2,4,4
270030020,6,2,1,8,2,4,4
270030025,6,2,1,8,2,4,4
270030030,6,2,1,8,2,4,4
270030035,6,2,1,8,2,4,4
270030040,6,2,1,8,2,4,4
270030045,6,2,1,8,2,4,4
270030050,6,2,1,8,2,4,4
270030105,3,2,1,8,2,4,3
270030110,3,2,1,8,2,4,3
270030115,3,2,1,8,2,4,3
270030120,3,2,1,8,2,4,3
270030125,3,2,1,8,2,4,3
270030130,3,2,1,8,2,4,3
270030135,3,2,1,8,2,4,4
270030140,3,2,1,8,2,4,3
270030205,6,2,1,8,2,4,4
270030305,6,2,1,8,2,7,6
270030310,6,2,1,8,2,4,6
270030315,6,2,1,8,2,7,6
270030320,6,2,1,8,2,7,6
270030325,6,2,1,8,2,4,4
270030330,6,2,1,8,2,4,4
270030335,6,2,1,8,2,4,4
270030340,6,2,1,8,2,4,4
270030405,6,2,1,8,2,4,6
270030410,6,2,1,8,2,4,6
270030415,6,2,1,8,2,4,6
270030420,6,2,1,8,2,4,6
270030425,6,2,1,8,2,4,6
270030430,6,2,1,8,2,4,4
270030435,6,2,1,8,2,4,6
270030440,6,2,1,8,2,4,4
270030505,6,2,1,8,2,4,6
270030510,6,2,1,8,2,4,6
270030515,6,2,1,8,2,4,4
270030520,6,2,1,8,2,4,4
270030525,6,2,1,8,2,4,4
270030530,6,2,1,8,2,4,4
270030535,6,2,1,8,2,4,4
270030540,6,2,1,8,2,4,4
270030605,6,2,1,8,2,4,4
270030705,6,2,1,8,2,4,4
270030710,6,2,1,8,2,4,4
270030805,5,2,1,8,2,7,6
270030810,5,2,1,8,2,7,6
270030815,5,2,1,8,2,7,6
270030820,5,2,1,8,2,7,6
270030825,5,2,1,8,2,7,6
270030830,5,2,1,8,2,7,6
270030835,5,2,1,8,2,7,6
270030840,5,2,1,8,2,7,6
270030905,6,2,1,8,2,4,4
270031005,3,2,1,8,2,4,3
270031010,3,2,1,8,2,4,4
270031015,3,2,1,8,2,4,3
270031020,3,2,1,8,2,4,4
270031105,3,2,1,8,2,4,4
270031110,3,2,1,8,2,4,4
270031115,3,2,1,8,2,4,6
270031120,3,2,1,8,2,4,6
270031125,3,2,1,8,2,4,4
270031205,3,2,1,8,2,4,3
270031210,3,2,1,8,2,4,3
270031215,3,2,1,8,2,7,6
270031220,3,2,1,8,2,7,3
270031305,3,2,1,8,2,4,3
270031310,3,2,1,8,2,4,3
270031315,3,2,1,8,2,4,3
270031320,3,2,1,8,2,7,6
270031405,3,2,1,8,2,4,6
270031410,3,2,1,8,2,4,6
270031415,3,2,1,8,2,4,3
270031420,3,2,1,8,2,7,6
270031425,3,2,1,8,2,7,6
270031505,6,2,1,8,2,4,4
270031510,6,2,1,8,2,4,4
270031515,6,2,1,8,2,4,4
270031605,5,2,1,8,2,7,6
270031610,5,2,1,8,2,7,6
270031615,5,2,1,8,2,7,6
270031620,5,2,1,8,2,7,6
270031705,5,2,1,8,2,7,6
270031710,5,2,1,8,2,7,6
270031715,5,2,1,8,2,7,6
270031720,5,2,1,8,2,7,6
270031805,5,2,1,8,2,7,6
270031810,5,2,1,8,2,7,6
270031815,5,2,1,8,2,7,6
270031820,5,2,1,8,2,7,6
270031905,6,2,1,8,2,4,4
270031910,6,2,1,8,2,4,4
270031915,6,2,1,8,2,4,4
270031920,6,2,1,8,2,4,4
270031925,6,2,1,8,2,4,4
270031930,6,2,1,8,2,4,4
270032005,5,2,1,8,2,7,6
270032105,6,2,1,8,2,4,4
270032205,6,2,1,8,2,4,4
270032210,6,2,1,8,2,4,4
270032215,6,2,1,8,2,4,4
270032220,6,2,1,8,2,4,4
270032225,6,2,1,8,2,4,4
270032230,6,2,1,8,2,4,4
270032235,6,2,1,8,2,4,4
270032305,6,2,1,8,2,4,4
270032310,6,2,1,8,2,4,4
270032405,6,2,1,8,2,4,3
270032410,6,2,1,8,2,4,4
270032505,6,2,1,8,2,4,4
270032510,6,2,1,8,2,4,4
270032515,6,2,1,8,2,4,4
270032520,6,2,1,8,2,4,4
270032605,6,2,1,8,2,4,4
270032610,6,2,1,8,2,4,3
270032705,6,2,1,8,2,4,4
270032710,6,2,1,8,2,4,4
270032805,6,2,1,8,2,4,3
270032810,6,2,1,8,2,4,3
270032905,6,2,1,8,2,4,4
270032910,6,2,1,8,2,4,4
270033005,6,2,1,8,2,4,3
270033010,6,2,1,8,2,4,4
270033105,5,2,1,8,2,7,6
270033110,5,2,1,8,2,7,6
270033115,5,2,1,8,2,7,6
270050005,7,1,3,2,1,2,1
270050010,7,1,3,2,1,2,1
270050015,7,1,3,2,1,2,1
270050020,7,1,3,2,1,2,1
270050025,8,1,3,2,1,2,1
270050030,8,1,3,2,1,2,1
270050035,7,1,3,2,1,2,1
270050040,7,1,3,2,1,2,7
270050045,7,1,3,2,1,2,1
270050050,7,1,3,2,1,2,1
270050051,7,1,3,2,1,2,1
270050052,7,1,3,2,1,2,1
270050055,7,1,3,2,1,2,1
270050065,7,1,3,2,1,2,1
270050075,7,1,3,2,1,2,1
270050082,8,1,3,2,1,2,1
270050085,7,1,3,2,1,2,1
270050090,7,1,3,2,1,2,1
270050095,8,1,3,2,1,2,1
270050100,7,1,3,2,1,2,1
270050105,7,1,3,2,1,2,1
270050110,7,1,3,2,1,2,1
270050115,7,1,3,2,1,2,1
270050120,7,1,3,2,1,2,1
270050125,7,1,3,2,1,2,7
270050130,7,1,3,2,1,2,1
270050135,7,1,3,2,1,2,1
270050140,7,1,3,2,1,2,1
270050145,8,1,3,2,1,2,1
270050150,8,1,3,2,1,2,1
270050155,7,1,3,2,1,2,1
270050160,8,1,3,2,1,2,1
270050165,8,1,3,2,1,2,1
270050170,7,1,3,2,1,2,1
270050175,8,1,3,2,1,2,1
270050180,7,1,3,2,1,2,1
270050185,8,1,3,2,1,2,1
270050190,7,1,3,2,1,2,1
270050195,7,1,3,2,1,2,1
270050200,8,1,3,2,1,2,1
270050205,7,1,3,2,1,2,1
270050210,8,1,3,2,1,2,1
270050215,7,1,3,2,1,2,1
270050220,8,1,3,2,1,2,1
270050225,7,1,3,2,1,2,1
270050230,8,1,3,2,1,2,1
270050235,7,1,3,2,1,2,1
270050240,7,1,3,2,1,2,1
270070005,8,1,2,1,1,2,1
270070010,8,1,2,1,1,2,1
270070015,8,1,2,1,1,2,1
270070020,8,1,2,1,1,2,1
270070025,8,1,2,1,1,2,1
270070030,8,1,2,1,1,2,1
270070032,8,1,2,1,1,2,1
270070035,8,1,2,1,1,2,1
270070040,8,1,2,1,1,2,1
270070045,8,1,2,1,1,2,1
270070050,8,1,2,1,1,2,1
270070055,8,1,2,1,1,2,1
270070060,8,1,2,1,1,2,1
270070065,8,1,2,1,1,2,1
270070070,8,1,2,1,1,2,1
270070075,8,1,2,1,1,2,1
270070080,8,1,2,1,1,2,1
270070085,8,1,2,1,1,2,1
270070090,8,1,2,1,1,2,1
270070095,8,1,2,1,1,2,1
270070100,8,1,2,1,1,2,1
270070105,8,1,2,1,1,2,1
270070110,8,1,2,1,1,2,1
270070115,8,1,2,1,1,2,1
270070120,8,1,2,1,1,2,1
270070125,8,1,2,1,1,2,1
270070130,8,1,2,1,1,2,1
270070135,8,1,2,1,1,2,1
270070140,8,1,2,1,1,2,1
270070145,8,1,2,1,1,2,1
270070150,8,1,2,1,1,2,1
270070155,8,1,2,1,1,2,1
270070160,8,1,2,1,1,2,1
270070165,8,1,2,1,1,2,1
270070170,8,1,2,1,1,2,1
270070172,8,1,2,1,1,2,1
270070175,8,1,2,1,1,2,1
270070180,8,1,2,1,1,2,1
270070185,8,1,2,1,1,2,1
270070190,8,1,2,1,1,2,1
270070195,8,1,2,1,1,2,1
270070200,8,1,2,1,1,2,1
270070202,8,1,2,1,1,2,1
270070205,8,1,2,1,1,2,1
270070210,8,1,2,1,1,2,1
270070215,8,1,2,1,1,2,1
270070220,8,1,2,1,1,2,1
270070225,8,1,2,1,1,2,1
270070230,8,1,2,1,1,2,1
270070235,8,1,2,1,1,2,1
270070240,8,1,2,1,1,2,1
270070245,8,1,2,1,1,2,1
270070250,8,1,2,1,1,2,1
270070255,8,1,2,1,1,2,1
270070260,8,1,2,1,1,2,1
270070265,8,1,2,1,1,2,1
270070270,8,1,2,1,1,2,1
270070275,8,1,2,1,1,2,1
270070276,8,1,2,1,1,2,1
270070280,8,1,2,1,1,2,1
270070285,8,1,2,1,1,2,1
270070290,8,1,2,1,1,2,1
270070295,8,1,2,1,1,2,1
270070300,8,1,2,1,1,2,1
270090005,6,1,2,2,7,4,3
270090010,6,1,2,2,7,4,3
270090015,6,1,2,2,7,4,3
270090020,6,1,2,2,7,4,3
270090025,6,1,2,2,7,4,3
270090030,6,1,2,2,7,3,3
270090035,6,1,2,2,7,4,3
270090040,6,1,2,2,7,3,3
270090045,6,1,2,2,7,3,7
270090050,6,1,2,2,7,4,3
270090055,6,1,2,2,7,3,3
270090056,6,1,2,2,7,3,7
270090060,6,1,2,2,7,3,7
270090067,6,1,2,2,7,3,3
270090070,6,1,2,2,7,3,3
270090080,6,1,2,2,7,3,7
270090085,6,1,2,2,7,3,7
270090090,6,1,2,2,7,4,3
270090095,6,1,2,2,7,3,7
270090100,6,1,2,2,7,3,7
270090105,6,1,2,2,7,3,7
270090110,6,1,2,2,7,3,7
270090111,6,1,2,2,7,3,7
270090112,6,1,2,2,7,3,7
270090113,6,1,2,2,7,3,3
270090115,6,1,2,2,7,3,7
270090120,6,1,2,2,7,3,7
270110005,7,3,3,2,7,3,7
270110010,7,3,3,2,7,3,7
270110015,7,3,3,2,7,3,7
270110020,7,3,3,2,7,3,7
270110025,7,3,3,2,7,3,7
270110030,7,3,3,2,7,3,7
270110031,7,3,3,2,7,3,7
270110035,7,3,3,2,7,3,7
270110040,7,3,3,2,7,3,7
270110045,7,3,3,2,7,3,7
270110050,7,3,3,2,7,3,7
270110055,7,3,3,2,7,3,7
270110056,7,3,3,2,7,3,7
270110060,7,3,3,2,7,3,7
270110065,7,3,3,2,7,3,7
270110070,7,3,3,2,7,3,7
270110075,7,3,3,2,7,3,7
270110080,7,3,3,2,7,3,7
270110085,7,3,3,2,7,3,7
270110086,7,3,3,2,7,3,7
270110090,7,3,3,2,7,3,7
270110095,7,3,3,2,7,3,7
270110100,7,3,3,2,7,3,7
270130005,1,7,4,3,3,1,2
270130010,1,7,4,3,3,1,2
270130015,1,7,4,3,3,1,2
270130020,1,7,4,3,3,1,2
270130025,1,7,4,3,3,1,2
270130030,1,7,4,3,3,1,2
270130035,1,7,4,3,3,1,2
270130040,1,7,4,3,3,1,2
270130045,1,7,4,3,3,1,2
270130050,1,7,4,3,3,1,2
270130055,1,7,4,3,3,1,2
270130060,1,7,4,3,3,1,2
270130065,1,7,4,3,3,1,2
270130070,1,7,4,3,3,1,2
270130075,1,7,4,3,3,1,2
270130080,1,7,4,3,3,1,2
270130085,1,7,4,3,3,1,2
270130090,1,7,4,3,3,1,2
270130095,1,7,4,3,3,1,2
270130100,1,7,4,3,3,1,2
270130105,1,7,4,3,3,1,2
270130106,1,7,4,3,3,1,2
270130110,1,7,4,3,3,1,2
270130115,1,7,4,3,3,1,2
270130120,1,7,4,3,3,1,2
270130125,1,7,4,3,3,1,2
270130130,1,7,4,3,3,1,2
270130135,1,7,4,3,3,1,2
270130140,1,7,4,3,3,1,2
270130142,1,7,4,3,3,1,2
270130145,1,7,4,3,3,1,2
270130150,1,7,4,3,3,1,2
270130155,1,7,4,3,3,1,2
270130160,1,7,4,3,3,1,2
270130165,1,7,4,3,3,1,2
270130170,1,7,4,3,3,1,2
270130175,1,7,4,3,3,1,2
270130195,1,7,4,3,3,1,2
270130197,1,7,4,3,3,1,2
270130200,1,7,4,3,3,1,2
270130205,1,7,4,3,3,1,2
270130210,1,7,4,3,3,1,2
270130212,1,7,4,3,3,1,2
270130215,1,7,4,3,3,1,2
270130220,1,7,4,3,3,1,2
270130225,1,7,4,3,3,1,2
270130230,1,7,4,3,3,1,2
270130235,1,7,4,3,3,1,2
270130240,1,7,4,3,3,1,2
270130245,1,7,4,3,3,1,2
270130250,1,7,4,3,3,1,2
270130255,1,7,4,3,3,1,2
270130260,1,7,4,3,3,1,2
270150005,1,7,3,3,3,1,2
270150010,7,7,3,3,3,1,2
270150015,7,7,3,3,3,1,2
270150020,7,7,3,3,3,3,2
270150025,7,7,3,3,3,1,2
270150030,1,7,3,3,3,1,2
270150035,1,7,3,3,3,3,7
270150040,1,7,3,3,3,3,2
270150045,1,7,3,3,3,1,2
270150050,1,7,3,3,3,3,7
270150055,1,7,3,3,3,1,2
270150060,7,7,3,3,3,1,2
270150065,1,7,3,3,3,1,2
270150070,1,7,3,3,3,3,7
270150075,7,7,3,3,3,1,2
270150080,1,7,3,3,3,1,2
270150085,1,7,3,3,3,1,2
270150090,1,7,3,3,3,1,2
270150095,1,7,3,3,3,3,2
270150100,1,7,3,3,3,3,7
270150105,1,7,3,3,3,1,2
270150110,1,7,3,3,3,1,7
270150115,1,7,3,3,3,1,7
270150120,7,7,3,3,3,1,2
270150125,1,7,3,3,3,3,2
270150130,1,7,3,3,3,1,2
270150135,1,7,3,3,3,3,7
270150140,1,7,3,3,3,3,7
270150145,7,7,3,3,3,1,2
270150150,7,7,3,3,3,1,2
270150155,1,7,3,3,3,1,7
270150160,7,7,3,3,3,1,7
270170005,8,2,1,1,1,2,4
270170010,8,2,1,1,1,2,4
270170015,8,2,1,1,1,2,4
270170020,8,2,1,1,1,2,4
270170025,8,2,1,1,1,2,4
270170030,8,2,1,1,1,2,4
270170035,8,2,1,1,1,2,4
270170040,8,2,1,1,1,2,4
270170045,8,2,1,1,1,2,4
270170050,8,2,1,1,1,2,4
270170055,8,2,1,1,1,2,4
270170060,8,2,1,1,1,2,4
270170065,8,2,1,1,1,2,4
270170068,8,2,1,1,1,2,4
270170070,8,2,1,1,1,2,4
270170075,8,2,1,1,1,2,4
270170080,8,2,1,1,1,2,4
270170085,8,2,1,1,1,2,4
270170090,8,2,1,1,1,2,4
270170095,8,2,1,1,1,2,4
270170100,8,2,1,1,1,2,4
270170105,8,2,1,1,1,2,4
270170110,8,2,1,1,1,2,4
270170115,8,2,1,1,1,2,4
270170118,8,2,1,1,1,2,4
270170120,8,2,1,1,1,2,4
270170125,8,2,1,1,1,2,4
270170130,8,2,1,1,1,2,4
270170135,8,2,1,1,1,2,4
270170140,8,2,1,1,1,2,4
270170145,8,2,1,1,1,2,4
270170150,8,2,1,1,1,2,4
270170155,8,2,1,1,1,2,4
270170165,8,2,1,1,1,2,4
270170170,8,2,1,1,1,2,4
270170175,8,2,1,1,1,2,4
270170180,8,2,1,1,1,2,4
270170185,8,2,1,1,1,2,4
270190005,6,7,3,8,4,3,2
270190010,6,7,3,8,4,3,2
270190015,6,7,3,8,4,6,2
270190020,6,7,3,8,4,6,7
270190025,6,7,3,8,4,6,7
270190030,6,7,3,8,4,6,3
270190035,6,7,3,8,4,6,3
270190036,6,7,3,8,4,6,3
270190037,6,7,3,8,4,6,7
270190038,6,7,3,8,4,6,7
270190040,6,7,3,8,4,6,7
270190045,6,7,3,8,4,6,3
270190050,6,7,3,8,4,6,7
270190055,6,7,3,8,4,6,7
270190065,6,7,3,8,4,3,2
270190070,6,7,3,8,4,6,7
270190072,6,7,3,8,4,6,7
270190075,6,7,3,8,4,3,2
270190080,6,7,3,8,4,3,2
270190085,6,7,3,8,4,3,2
270190090,6,7,3,8,4,6,7
270190095,6,7,3,8,4,3,7
270190100,6,7,3,8,4,3,2
270190105,6,7,3,8,4,3,2
270190110,6,7,3,8,4,6,2
270190112,6,7,3,8,4,6,3
270190115,6,7,3,8,4,6,3
270190117,6,7,3,8,4,6,3
270190119,6,7,3,8,4,6,3
270190120,6,7,3,8,4,3,7
270190125,6,7,3,8,4,3,7
270190130,6,7,3,8,4,3,7
270190135,6,7,3,8,4,3,7
270190140,6,7,3,8,4,3,7
270190150,6,7,3,8,4,3,2
270210005,8,1,2,1,1,2,1
270210010,8,1,2,1,1,2,1
270210015,8,1,2,1,1,2,1
270210020,8,1,2,1,1,2,1
270210025,8,1,2,1,1,2,1
270210030,8,1,2,1,1,2,4
270210035,8,1,2,1,1,2,1
270210040,8,1,2,1,1,2,1
270210045,8,1,2,1,1,2,1
270210050,8,1,2,1,1,2,1
270210055,8,1,2,1,1,2,1
270210060,8,1,2,1,1,2,1
270210065,8,1,2,1,1,2,1
270210070,8,1,2,1,1,2,1
270210075,8,1,2,1,1,2,1
270210080,8,1,2,1,1,2,1
270210085,8,1,2,1,1,2,4
270210090,8,1,2,1,1,2,1
270210095,8,1,2,1,1,2,1
270210100,8,1,2,1,1,2,1
270210105,8,1,2,1,1,2,1
270210110,8,1,2,1,1,2,1
270210115,8,1,2,1,1,2,1
270210118,8,1,2,1,1,2,1
270210120,8,1,2,1,1,2,1
270210125,8,1,2,1,1,2,1
270210130,8,1,2,1,1,2,1
270210135,8,1,2,1,1,2,1
270210140,8,1,2,1,1,2,1
270210145,8,1,2,1,1,2,1
270210150,8,1,2,1,1,2,1
270210155,8,1,2,1,1,2,1
270210160,8,1,2,1,1,2,1
270210165,8,1,2,1,1,2,1
270210170,8,1,2,1,1,2,1
270210175,8,1,2,1,1,2,1
270210180,8,1,2,1,1,2,1
270210185,8,1,2,1,1,2,1
270210187,8,1,2,1,1,2,1
270210188,8,1,2,1,1,2,1
270210190,8,1,2,1,1,2,1
270210195,8,1,2,1,1,3,1
270210200,8,1,2,1,1,2,1
270210205,8,1,2,1,1,2,1
270210210,8,1,2,1,1,2,1
270210215,8,1,2,1,1,2,1
270210220,8,1,2,1,1,2,1
270210225,8,1,2,1,1,2,1
270210230,8,1,2,1,1,2,1
270210235,8,1,2,1,1,2,1
270210237,8,1,2,1,1,2,1
270210240,8,1,2,1,1,2,1
270210245,8,1,2,1,1,2,1
270210247,8,1,2,1,1,2,1
270210250,8,1,2,1,1,2,1
270210252,8,1,2,1,1,2,1
270210255,8,1,2,1,1,2,1
270210260,8,1,2,1,1,2,1
270210262,8,1,2,1,1,2,1
270210265,8,1,2,1,1,3,1
270210270,8,1,2,1,1,2,1
270210275,8,1,2,1,1,2,1
270210280,8,1,2,1,1,2,1
270210285,8,1,2,1,1,2,1
270210290,8,1,2,1,1,2,1
270210295,8,1,2,1,1,2,1
270210300,8,1,2,1,1,2,1
270210305,8,1,2,1,1,2,1
270210310,8,1,2,1,1,2,1
270210312,8,1,2,1,1,2,1
270210315,8,1,2,1,1,2,1
270210317,8,1,2,1,1,2,1
270210320,8,1,2,1,1,2,1
270230005,7,3,3,2,7,3,7
270230010,7,3,3,2,7,3,1
270230015,7,3,3,2,7,3,7
270230020,7,3,3,2,7,3,7
270230025,7,3,3,2,7,3,7
270230030,7,3,3,2,7,3,7
270230032,7,3,3,2,7,3,7
270230035,7,3,3,2,7,3,7
270230040,7,3,3,2,7,3,7
270230045,7,3,3,2,7,3,7
270230050,7,3,3,2,7,3,1
270230055,7,3,3,2,7,3,7
270230060,7,3,3,2,7,3,7
270230065,7,3,3,2,7,3,1
270230070,7,3,3,2,7,3,7
270230075,7,3,3,2,7,3,7
270230090,7,3,3,2,7,3,7
270230100,7,3,3,2,7,3,1
270230105,7,3,3,2,7,3,1
270230110,7,3,3,2,7,3,7
270230115,7,3,3,2,7,3,7
270230120,7,3,3,2,7,3,1
270230125,7,3,3,2,7,3,7
270230130,7,3,3,2,7,3,7
270230135,7,3,3,2,7,3,1
270250005,8,2,1,6,2,4,4
270250015,8,2,1,6,2,4,4
270250020,8,2,1,6,2,4,4
270250025,8,2,1,6,2,4,4
270250030,8,2,1,6,2,4,4
270250035,8,2,1,6,2,4,3
270250040,8,2,1,6,2,4,4
270250045,8,2,1,6,2,4,4
270250050,8,2,1,6,2,4,4
270250055,8,2,1,6,2,4,4
270250060,8,2,1,6,2,4,4
270250065,8,2,1,6,2,4,4
270250066,8,2,1,6,2,4,4
270250067,8,2,1,6,2,4,4
270250070,8,2,1,6,2,4,4
270250075,8,2,1,6,2,4,4
270250080,8,2,1,6,2,4,4
270250085,8,2,1,6,2,4,4
270250086,8,2,1,6,2,4,4
270250090,8,2,1,6,2,4,4
270250095,8,2,1,6,2,4,4
270250100,8,2,1,6,2,4,4
270250105,8,2,1,6,2,4,4
270270005,7,3,3,2,1,2,7
270270010,7,3,3,2,1,2,7
270270015,7,3,3,2,1,2,7
270270020,7,3,3,2,1,2,7
270270025,7,3,3,2,1,2,7
270270030,7,3,3,2,1,2,7
270270035,7,3,3,2,1,2,1
270270040,7,3,3,2,1,2,1
270270045,7,3,3,2,1,2,1
270270050,7,3,3,2,1,2,1
270270055,7,3,3,2,1,2,1
270270060,7,3,3,2,1,2,1
270270065,7,3,3,2,1,2,1
270270070,7,3,3,2,1,2,1
270270075,7,3,3,2,1,2,1
270270080,7,3,3,2,1,2,1
270270085,7,3,3,2,1,2,1
270270090,7,3,3,2,1,2,1
270270095,7,3,3,2,1,2,1
270270100,7,3,3,2,1,2,1
270270105,7,3,3,2,1,2,1
270270110,7,3,3,2,1,2,1
270270115,7,3,3,2,1,2,1
270270120,7,3,3,2,1,2,1
270270125,7,3,3,2,1,2,7
270270130,7,3,3,2,1,2,7
270270135,7,3,3,2,1,2,1
270270140,7,3,3,2,1,2,1
270270145,7,3,3,2,1,2,7
270270150,7,3,3,2,1,2,1
270270155,7,3,3,2,1,2,1
270270157,7,3,3,2,1,2,1
270270160,7,3,3,2,1,2,1
270270165,7,3,3,2,1,2,1
270270170,7,3,3,2,1,2,1
270270175,7,3,3,2,1,2,1
270270180,7,3,3,2,1,2,1
270270185,7,3,3,2,1,2,1
270270190,7,3,3,2,1,2,1
270270195,7,3,3,2,1,2,1
270270200,7,3,3,2,1,2,1
270270205,7,3,3,2,1,2,1
270270210,7,3,3,2,1,2,1
270270212,7,3,3,2,1,2,1
270270214,7,3,3,2,1,2,1
270270215,7,3,3,2,1,2,1
270270217,7,3,3,2,1,2,1
270270220,7,3,3,2,1,2,1
270270225,7,3,3,2,1,2,1
270270230,7,3,3,2,1,2,7
270270235,7,3,3,2,1,2,1
270270240,7,3,3,2,1,2,1
270270245,7,3,3,2,1,2,7
270270250,7,3,3,2,1,2,1
270270255,7,3,3,2,1,2,7
270270260,7,3,3,2,1,2,1
270270265,7,3,3,2,1,2,1
270270270,7,3,3,2,1,2,1
270290005,8,1,3,1,1,2,1
270290010,8,1,3,1,1,2,1
270290015,8,1,3,1,1,2,1
270290020,8,1,3,1,1,2,1
270290025,8,1,3,1,1,2,1
270290030,8,1,3,1,1,2,1
270290035,8,1,3,1,1,2,1
270290040,8,1,3,1,1,2,1
270290045,8,1,3,1,1,2,1
270290050,8,1,3,1,1,2,1
270290055,8,1,3,1,1,2,1
270290056,8,1,3,1,1,2,1
270290060,8,1,3,1,1,2,1
270290065,8,1,3,1,1,2,1
270290070,8,1,3,1,1,2,1
270290075,8,1,3,1,1,2,1
270290080,8,1,3,1,1,2,1
270290085,8,1,3,1,1,2,1
270290090,8,1,3,1,1,2,1
270290095,8,1,3,1,1,2,1
270290100,8,1,3,1,1,2,1
270290105,8,1,3,1,1,2,1
270290110,8,1,3,1,1,2,1
270290115,8,1,3,1,1,2,1
270290120,8,1,3,1,1,2,1
270290125,8,1,3,1,1,2,1
270290130,8,1,3,1,1,2,1
270290135,8,1,3,1,1,2,1
270290140,8,1,3,1,1,2,1
270310005,8,2,1,1,1,2,1
270310010,8,2,1,1,1,2,1
270310015,8,2,1,1,1,2,1
270310020,8,2,1,1,1,2,1
270310025,8,2,1,1,1,2,1
270310030,8,2,1,1,1,2,1
270310035,8,2,1,1,1,2,1
270310040,8,2,1,1,1,2,1
270310045,8,2,1,1,1,2,1
270310050,8,2,1,1,1,2,1
270310055,8,2,1,1,1,2,1
270310060,8,2,1,1,1,2,1
270310065,8,2,1,1,1,2,1
270319999,8,2,1,1,1,2,1
270330005,7,7,3,3,7,1,7
270330010,7,7,3,3,7,1,2
270330015,7,7,3,3,7,1,7
270330020,7,7,3,3,7,1,2
270330025,7,7,3,3,7,1,2
270330030,7,7,3,3,7,1,2
270330035,7,7,3,3,7,1,2
270330040,7,7,3,3,7,1,2
270330045,7,7,3,3,7,1,7
270330047,7,7,3,3,7,1,7
270330050,7,7,3,3,7,1,2
270330055,7,7,3,3,7,1,7
270330060,7,7,3,3,7,1,7
270330065,7,7,3,3,7,1,2
270330070,7,7,3,3,7,1,2
270330075,7,7,3,3,7,1,2
270330085,7,7,3,3,7,1,2
270330090,7,7,3,3,7,1,7
270330095,7,7,3,3,7,1,2
270330100,7,7,3,3,7,1,7
270330105,7,7,3,3,7,1,2
270330110,7,7,3,3,7,1,7
270330115,7,7,3,3,7,1,7
270330120,7,7,3,3,7,1,7
270330125,7,7,3,3,7,1,7
270330130,7,7,3,3,7,1,2
270330135,7,7,3,3,7,1,2
270330140,7,7,3,3,7,1,2
270330145,7,7,3,3,7,1,2
270350005,8,1,2,1,2,3,1
270350006,8,1,2,1,2,3,1
270350007,8,1,2,1,2,3,1
270350008,8,1,2,1,2,3,1
270350010,8,1,2,1,2,2,4
270350015,8,1,2,1,2,2,1
270350016,8,1,2,1,2,3,1
270350020,8,1,2,1,2,2,1
270350025,8,1,2,1,2,2,1
270350035,8,1,2,1,2,2,1
270350040,8,1,2,1,2,2,1
270350042,8,1,2,1,2,2,4
270350045,8,1,2,1,2,2,1
270350050,8,1,2,1,2,2,1
270350055,8,1,2,1,2,2,1
270350060,8,1,2,1,2,2,1
270350065,8,1,2,1,2,2,4
270350075,8,1,2,1,2,2,1
